epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.351,1.22854,2.85221,1.37605,0.33625,0.38261,0.32548,0.19651,1.69413,2.54236,1.92236,0.000471522,0.000471522,0.000471522
2,290.191,1.27099,1.58912,1.40117,0.36488,0.38314,0.28319,0.18667,1.48173,3.2915,1.68357,0.000929088,0.000929088,0.000929088
3,361.647,1.29258,1.50665,1.41087,0.2548,0.42554,0.29873,0.19647,1.576,4.20987,1.89734,0.00136779,0.00136779,0.00136779
4,434.918,1.29795,1.49572,1.42149,0.67618,0.52373,0.57065,0.37002,1.49235,2.06963,1.78579,0.00134412,0.00134412,0.00134412
5,507.566,1.231,1.35417,1.36899,0.41557,0.37352,0.31455,0.21183,1.72757,2.57342,1.79421,0.00131582,0.00131582,0.00131582
6,580.916,1.19717,1.27226,1.3545,0.7055,0.56722,0.56362,0.39529,1.39291,1.99409,1.62956,0.00128753,0.00128753,0.00128753
7,654.35,1.15362,1.18409,1.32354,0.61329,0.55227,0.6559,0.44562,1.31211,1.87899,1.57626,0.00125923,0.00125923,0.00125923
8,727.03,1.13844,1.13486,1.32513,0.61384,0.42213,0.49143,0.3372,1.51637,3.20318,1.75042,0.00123094,0.00123094,0.00123094
9,799.576,1.09714,1.08077,1.28153,0.74704,0.60634,0.70496,0.47661,1.32728,1.36005,1.52303,0.00120265,0.00120265,0.00120265
10,872.441,1.11597,1.05434,1.30524,0.76523,0.57451,0.61997,0.45155,1.34521,1.89413,1.62353,0.00117435,0.00117435,0.00117435
11,945.7,1.08135,1.03457,1.28527,0.7393,0.68181,0.73209,0.50622,1.25494,1.30289,1.52977,0.00114606,0.00114606,0.00114606
12,1019.46,1.06298,0.99096,1.26401,0.74153,0.67777,0.72682,0.5065,1.24531,1.27884,1.47476,0.00111776,0.00111776,0.00111776
13,1090.92,1.02716,0.96891,1.24397,0.72453,0.72708,0.76911,0.53883,1.23148,1.10417,1.47746,0.00108947,0.00108947,0.00108947
14,1162.84,1.04353,0.96202,1.26472,0.77267,0.76206,0.808,0.5681,1.20534,1.133,1.48176,0.00106118,0.00106118,0.00106118
15,1235.38,1.01113,0.92482,1.24107,0.82926,0.73213,0.81831,0.5707,1.22565,1.00834,1.51157,0.00103288,0.00103288,0.00103288
16,1307.86,1.01511,0.90694,1.24107,0.77516,0.6751,0.74332,0.51943,1.25185,1.21062,1.492,0.00100459,0.00100459,0.00100459
17,1380.26,0.99695,0.872,1.23276,0.77296,0.75948,0.80615,0.58062,1.15469,1.05394,1.41523,0.000976293,0.000976293,0.000976293
18,1451.86,0.96968,0.87555,1.21162,0.80926,0.76626,0.82095,0.60774,1.14328,1.01761,1.42725,0.000947999,0.000947999,0.000947999
19,1524.14,0.9649,0.84022,1.19305,0.79268,0.78195,0.84214,0.61521,1.10109,0.91377,1.35843,0.000919704,0.000919704,0.000919704
20,1594.91,0.95367,0.83718,1.20435,0.80048,0.77622,0.83397,0.57342,1.19485,1.04669,1.43069,0.00089141,0.00089141,0.00089141
21,1666.47,0.94587,0.8059,1.19276,0.80501,0.79018,0.82158,0.594,1.10027,0.94751,1.38321,0.000863116,0.000863116,0.000863116
22,1736.65,0.93604,0.78394,1.17997,0.7838,0.76215,0.81517,0.58843,1.12306,0.96756,1.39978,0.000834822,0.000834822,0.000834822
23,1806.34,0.90848,0.76271,1.16199,0.87058,0.79884,0.84619,0.61908,1.08448,0.86902,1.38159,0.000806528,0.000806528,0.000806528
24,1876.55,0.90938,0.75389,1.16746,0.78254,0.74405,0.81053,0.59581,1.11069,1.00661,1.40194,0.000778233,0.000778233,0.000778233
25,1946.18,0.88538,0.71224,1.15171,0.86298,0.82922,0.87801,0.64669,1.11212,0.80724,1.39552,0.000749939,0.000749939,0.000749939
26,2015.6,0.90098,0.73379,1.16397,0.84607,0.81174,0.8594,0.63765,1.07498,0.84573,1.3319,0.000721645,0.000721645,0.000721645
27,2084.85,0.88721,0.72297,1.14605,0.84166,0.84213,0.88173,0.65377,1.07008,0.79333,1.34938,0.000693351,0.000693351,0.000693351
28,2154.9,0.87593,0.69963,1.1488,0.85248,0.81851,0.86498,0.64943,1.04022,0.80237,1.32102,0.000665057,0.000665057,0.000665057
29,2224.22,0.85778,0.69857,1.13513,0.84611,0.8344,0.88032,0.64965,1.06396,0.79403,1.35286,0.000636762,0.000636762,0.000636762
30,2293.53,0.85563,0.67587,1.12806,0.88361,0.80694,0.87817,0.6643,1.03239,0.77657,1.33251,0.000608468,0.000608468,0.000608468
31,2362.22,0.86897,0.69075,1.13256,0.83463,0.80696,0.8647,0.63644,1.09965,0.84159,1.38834,0.000580174,0.000580174,0.000580174
32,2432.2,0.8609,0.67823,1.13291,0.83914,0.83022,0.87633,0.64887,1.064,0.79227,1.33285,0.00055188,0.00055188,0.00055188
33,2502.44,0.83668,0.65444,1.12013,0.87041,0.80115,0.88171,0.663,1.00365,0.77531,1.29079,0.000523586,0.000523586,0.000523586
34,2573.72,0.80467,0.63568,1.11293,0.87636,0.82594,0.88724,0.65475,1.07414,0.81155,1.3408,0.000495291,0.000495291,0.000495291
35,2645.44,0.80644,0.61,1.10355,0.8364,0.83127,0.8922,0.6725,1.01067,0.74989,1.30098,0.000466997,0.000466997,0.000466997
36,2717.07,0.80125,0.60982,1.10114,0.87732,0.85017,0.90202,0.66707,1.03223,0.72569,1.31816,0.000438703,0.000438703,0.000438703
37,2788.55,0.7899,0.59233,1.08918,0.8908,0.84488,0.89929,0.67192,1.04902,0.69153,1.33416,0.000410409,0.000410409,0.000410409
38,2859.64,0.77822,0.58092,1.08643,0.88842,0.84956,0.90473,0.67776,1.04094,0.70342,1.3373,0.000382115,0.000382115,0.000382115
39,2930.54,0.76327,0.55917,1.07645,0.87872,0.86144,0.90174,0.68726,1.00718,0.6993,1.30655,0.00035382,0.00035382,0.00035382
40,3001.82,0.78181,0.57083,1.0905,0.87036,0.84888,0.89665,0.68133,1.00833,0.70303,1.30225,0.000325526,0.000325526,0.000325526
41,3075.36,0.70052,0.48351,1.05537,0.86947,0.87879,0.90915,0.68836,1.02106,0.69247,1.32278,0.000297232,0.000297232,0.000297232
42,3144.09,0.67267,0.43697,1.03262,0.89582,0.86999,0.92075,0.69603,1.00694,0.66123,1.29609,0.000268938,0.000268938,0.000268938
43,3211.69,0.65276,0.41701,1.01826,0.89332,0.86125,0.90447,0.68825,1.02406,0.68515,1.32063,0.000240644,0.000240644,0.000240644
44,3279.07,0.64093,0.40118,1.01059,0.89309,0.86763,0.9182,0.70459,0.9588,0.6179,1.26149,0.000212349,0.000212349,0.000212349
45,3347.88,0.63168,0.3925,1.00031,0.91371,0.87018,0.92867,0.69532,1.01244,0.62018,1.30488,0.000184055,0.000184055,0.000184055
46,3416.87,0.61439,0.37966,0.99214,0.90301,0.87702,0.93033,0.711,0.98527,0.6266,1.28097,0.000155761,0.000155761,0.000155761
47,3486.46,0.60231,0.3767,0.98693,0.89318,0.88781,0.91772,0.70248,0.99814,0.62321,1.29557,0.000127467,0.000127467,0.000127467
48,3555.28,0.59628,0.36411,0.98297,0.88668,0.8749,0.91982,0.70676,0.97995,0.62525,1.28696,9.91726e-05,9.91726e-05,9.91726e-05
